circuit,attack_type,noise_rate,num_qubits,original_depth,modified_depth,original_gates,modified_gates,tvd,prediction,anomaly_probability,risk_score,risk_level,status
adder_n10.qasm,gate_substitution,0.05,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,multiple_gate_insertion,0.05,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n4.qasm,normal,0.005,4,12,12,27,27,0.1,0,0.0608,6.08,LOW,SUCCESS
adder_n4.qasm,gate_insertion,0.005,4,12,13,27,28,0.1,1,0.9799,97.99,HIGH,SUCCESS
adder_n4.qasm,gate_deletion,0.005,4,12,11,27,26,0.04,0,0.0602,6.02,LOW,SUCCESS
adder_n4.qasm,gate_substitution,0.005,4,12,12,27,27,0.585,1,0.9761,97.61,HIGH,SUCCESS
adder_n4.qasm,multiple_gate_insertion,0.005,4,12,13,27,29,0.95,1,0.9977,99.77,HIGH,SUCCESS
adder_n4.qasm,normal,0.01,4,12,12,27,27,0.21,0,0.2085,20.85,LOW,SUCCESS
adder_n4.qasm,gate_insertion,0.01,4,12,12,27,28,0.99,1,0.9761,97.61,HIGH,SUCCESS
adder_n4.qasm,gate_deletion,0.01,4,12,12,27,26,1.0,1,0.9761,97.61,HIGH,SUCCESS
adder_n4.qasm,gate_substitution,0.01,4,12,12,27,27,0.58,1,0.9929,99.29,HIGH,SUCCESS
adder_n4.qasm,multiple_gate_insertion,0.01,4,12,12,27,29,0.975,1,0.9929,99.29,HIGH,SUCCESS
adder_n4.qasm,normal,0.02,4,12,12,27,27,0.34,1,0.7724,77.24,HIGH,SUCCESS
adder_n4.qasm,gate_insertion,0.02,4,12,13,27,28,0.665,1,0.9761,97.61,HIGH,SUCCESS
adder_n4.qasm,gate_deletion,0.02,4,12,11,27,26,0.27,1,0.6698,66.98,MEDIUM,SUCCESS
adder_n4.qasm,gate_substitution,0.02,4,12,12,27,27,0.64,1,0.9929,99.29,HIGH,SUCCESS
adder_n4.qasm,multiple_gate_insertion,0.02,4,12,13,27,29,0.975,1,0.9761,97.61,HIGH,SUCCESS
adder_n4.qasm,normal,0.03,4,12,12,27,27,0.385,1,0.8968,89.68,HIGH,SUCCESS
adder_n4.qasm,gate_insertion,0.03,4,12,13,27,28,0.49,1,0.9929,99.29,HIGH,SUCCESS
adder_n4.qasm,gate_deletion,0.03,4,12,12,27,26,0.425,1,0.9489,94.89,HIGH,SUCCESS
adder_n4.qasm,gate_substitution,0.03,4,12,12,27,27,0.965,1,0.992,99.2,HIGH,SUCCESS
adder_n4.qasm,multiple_gate_insertion,0.03,4,12,13,27,29,0.97,1,0.992,99.2,HIGH,SUCCESS
adder_n4.qasm,normal,0.04,4,12,12,27,27,0.555,1,0.9761,97.61,HIGH,SUCCESS
adder_n4.qasm,gate_insertion,0.04,4,12,12,27,28,0.545,1,0.9929,99.29,HIGH,SUCCESS
adder_n4.qasm,gate_deletion,0.04,4,12,11,27,26,0.495,1,0.9886,98.86,HIGH,SUCCESS
adder_n4.qasm,gate_substitution,0.04,4,12,12,27,27,0.5,1,0.9929,99.29,HIGH,SUCCESS
adder_n4.qasm,multiple_gate_insertion,0.04,4,12,13,27,29,0.515,1,0.9929,99.29,HIGH,SUCCESS
adder_n4.qasm,normal,0.05,4,12,12,27,27,0.585,1,0.9761,97.61,HIGH,SUCCESS
adder_n4.qasm,gate_insertion,0.05,4,12,13,27,28,0.695,1,0.9761,97.61,HIGH,SUCCESS
adder_n4.qasm,gate_deletion,0.05,4,12,12,27,26,0.49,1,0.9865,98.65,HIGH,SUCCESS
adder_n4.qasm,gate_substitution,0.05,4,12,12,27,27,0.615,1,0.992,99.2,HIGH,SUCCESS
adder_n4.qasm,multiple_gate_insertion,0.05,4,12,12,27,29,0.95,1,0.9977,99.77,HIGH,SUCCESS
basis_change_n3.qasm,normal,0.005,3,22,22,36,36,0.08,0,0.0634,6.34,LOW,SUCCESS
basis_change_n3.qasm,gate_insertion,0.005,3,22,22,36,37,0.985,1,0.9746,97.46,HIGH,SUCCESS
basis_change_n3.qasm,gate_deletion,0.005,3,22,22,36,35,0.17,0,0.0824,8.24,LOW,SUCCESS
basis_change_n3.qasm,gate_substitution,0.005,3,22,22,36,36,0.98,1,0.9915,99.15,HIGH,SUCCESS
basis_change_n3.qasm,multiple_gate_insertion,0.005,3,22,23,36,38,0.995,1,0.9973,99.73,HIGH,SUCCESS
basis_change_n3.qasm,normal,0.01,3,22,22,36,36,0.165,0,0.0824,8.24,LOW,SUCCESS
basis_change_n3.qasm,gate_insertion,0.01,3,22,23,36,37,0.11,1,0.955,95.5,HIGH,SUCCESS
basis_change_n3.qasm,gate_deletion,0.01,3,22,22,36,35,0.51,1,0.9733,97.33,HIGH,SUCCESS
basis_change_n3.qasm,gate_substitution,0.01,3,22,22,36,36,0.13,0,0.0697,6.97,LOW,SUCCESS
basis_change_n3.qasm,multiple_gate_insertion,0.01,3,22,24,36,38,0.96,1,0.9973,99.73,HIGH,SUCCESS
basis_change_n3.qasm,normal,0.02,3,22,22,36,36,0.265,0,0.2634,26.34,LOW,SUCCESS
basis_change_n3.qasm,gate_insertion,0.02,3,22,22,36,37,0.595,1,0.9733,97.33,HIGH,SUCCESS
basis_change_n3.qasm,gate_deletion,0.02,3,22,22,36,35,0.27,0,0.2532,25.32,LOW,SUCCESS
basis_change_n3.qasm,gate_substitution,0.02,3,22,22,36,36,0.945,1,0.9746,97.46,HIGH,SUCCESS
basis_change_n3.qasm,multiple_gate_insertion,0.02,3,22,23,36,38,0.65,1,0.9915,99.15,HIGH,SUCCESS
basis_change_n3.qasm,normal,0.03,3,22,22,36,36,0.35,1,0.6557,65.57,MEDIUM,SUCCESS
basis_change_n3.qasm,gate_insertion,0.03,3,22,23,36,37,0.925,1,0.9916,99.16,HIGH,SUCCESS
basis_change_n3.qasm,gate_deletion,0.03,3,22,22,36,35,0.46,1,0.9695,96.95,HIGH,SUCCESS
basis_change_n3.qasm,gate_substitution,0.03,3,22,22,36,36,0.945,1,0.9733,97.33,HIGH,SUCCESS
basis_change_n3.qasm,multiple_gate_insertion,0.03,3,22,23,36,38,0.945,1,0.9746,97.46,HIGH,SUCCESS
basis_change_n3.qasm,normal,0.04,3,22,22,36,36,0.405,1,0.7857,78.57,HIGH,SUCCESS
basis_change_n3.qasm,gate_insertion,0.04,3,22,23,36,37,0.505,1,0.9915,99.15,HIGH,SUCCESS
basis_change_n3.qasm,gate_deletion,0.04,3,22,22,36,35,0.5,1,0.9733,97.33,HIGH,SUCCESS
basis_change_n3.qasm,gate_substitution,0.04,3,22,22,36,36,0.62,1,0.9916,99.16,HIGH,SUCCESS
basis_change_n3.qasm,multiple_gate_insertion,0.04,3,22,23,36,38,0.895,1,0.9916,99.16,HIGH,SUCCESS
basis_change_n3.qasm,normal,0.05,3,22,22,36,36,0.49,1,0.9733,97.33,HIGH,SUCCESS
basis_change_n3.qasm,gate_insertion,0.05,3,22,23,36,37,0.46,1,0.9902,99.02,HIGH,SUCCESS
basis_change_n3.qasm,gate_deletion,0.05,3,22,22,36,35,0.535,1,0.9733,97.33,HIGH,SUCCESS
basis_change_n3.qasm,gate_substitution,0.05,3,22,22,36,36,0.68,1,0.9733,97.33,HIGH,SUCCESS
basis_change_n3.qasm,multiple_gate_insertion,0.05,3,22,23,36,38,0.93,1,0.9746,97.46,HIGH,SUCCESS
basis_test_n4.qasm,normal,0.005,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,gate_insertion,0.005,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,gate_deletion,0.005,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,gate_substitution,0.005,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,multiple_gate_insertion,0.005,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,normal,0.01,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,gate_insertion,0.01,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,gate_deletion,0.01,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,gate_substitution,0.01,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,multiple_gate_insertion,0.01,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,normal,0.02,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,gate_insertion,0.02,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,gate_deletion,0.02,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,gate_substitution,0.02,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,multiple_gate_insertion,0.02,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,normal,0.03,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,gate_insertion,0.03,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,gate_deletion,0.03,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,gate_substitution,0.03,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,multiple_gate_insertion,0.03,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,normal,0.04,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,gate_insertion,0.04,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,gate_deletion,0.04,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,gate_substitution,0.04,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,multiple_gate_insertion,0.04,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,normal,0.05,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,gate_insertion,0.05,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,gate_deletion,0.05,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,gate_substitution,0.05,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,multiple_gate_insertion,0.05,,,,,,,,,,,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,normal,0.005,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,gate_insertion,0.005,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,gate_deletion,0.005,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,gate_substitution,0.005,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,multiple_gate_insertion,0.005,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,normal,0.01,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,gate_insertion,0.01,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,gate_deletion,0.01,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,gate_substitution,0.01,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,multiple_gate_insertion,0.01,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,normal,0.02,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,gate_insertion,0.02,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,gate_deletion,0.02,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,gate_substitution,0.02,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,multiple_gate_insertion,0.02,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,normal,0.03,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,gate_insertion,0.03,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,gate_deletion,0.03,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,gate_substitution,0.03,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,multiple_gate_insertion,0.03,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,normal,0.04,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,gate_insertion,0.04,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,gate_deletion,0.04,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,gate_substitution,0.04,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,multiple_gate_insertion,0.04,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,normal,0.05,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,gate_insertion,0.05,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,gate_deletion,0.05,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,gate_substitution,0.05,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,multiple_gate_insertion,0.05,,,,,,,,,,,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
bb84_n8.qasm,normal,0.005,8,7,7,43,43,0.175,0,0.1286,12.86,LOW,SUCCESS
bb84_n8.qasm,gate_insertion,0.005,8,7,7,43,44,1.0,1,0.9934,99.34,HIGH,SUCCESS
bb84_n8.qasm,gate_deletion,0.005,8,7,7,43,42,1.0,1,0.9944,99.44,HIGH,SUCCESS
bb84_n8.qasm,gate_substitution,0.005,8,7,7,43,43,1.0,1,0.9934,99.34,HIGH,SUCCESS
bb84_n8.qasm,multiple_gate_insertion,0.005,8,7,7,43,45,1.0,1,0.9874,98.74,HIGH,SUCCESS
bb84_n8.qasm,normal,0.01,8,7,7,43,43,0.235,0,0.4791,47.91,MEDIUM,SUCCESS
bb84_n8.qasm,gate_insertion,0.01,8,7,7,43,44,1.0,1,0.9696,96.96,HIGH,SUCCESS
bb84_n8.qasm,gate_deletion,0.01,8,7,7,43,42,1.0,1,0.9661,96.61,HIGH,SUCCESS
bb84_n8.qasm,gate_substitution,0.01,8,7,7,43,43,1.0,1,0.9934,99.34,HIGH,SUCCESS
bb84_n8.qasm,multiple_gate_insertion,0.01,8,7,7,43,45,1.0,1,0.9934,99.34,HIGH,SUCCESS
bb84_n8.qasm,normal,0.02,8,7,7,43,43,0.225,0,0.4791,47.91,MEDIUM,SUCCESS
bb84_n8.qasm,gate_insertion,0.02,8,7,7,43,44,1.0,1,0.9696,96.96,HIGH,SUCCESS
bb84_n8.qasm,gate_deletion,0.02,8,7,7,43,42,1.0,1,0.9944,99.44,HIGH,SUCCESS
bb84_n8.qasm,gate_substitution,0.02,8,7,7,43,43,1.0,1,0.9934,99.34,HIGH,SUCCESS
bb84_n8.qasm,multiple_gate_insertion,0.02,8,7,8,43,45,1.0,1,0.9941,99.41,HIGH,SUCCESS
bb84_n8.qasm,normal,0.03,8,7,7,43,43,0.245,0,0.3908,39.08,MEDIUM,SUCCESS
bb84_n8.qasm,gate_insertion,0.03,8,7,8,43,44,1.0,1,0.986,98.6,HIGH,SUCCESS
bb84_n8.qasm,gate_deletion,0.03,8,7,7,43,42,1.0,1,0.9944,99.44,HIGH,SUCCESS
bb84_n8.qasm,gate_substitution,0.03,8,7,7,43,43,1.0,1,0.9977,99.77,HIGH,SUCCESS
bb84_n8.qasm,multiple_gate_insertion,0.03,8,7,8,43,45,1.0,1,0.986,98.6,HIGH,SUCCESS
bb84_n8.qasm,normal,0.04,8,7,7,43,43,0.27,0,0.3781,37.81,MEDIUM,SUCCESS
bb84_n8.qasm,gate_insertion,0.04,8,7,8,43,44,1.0,1,0.986,98.6,HIGH,SUCCESS
bb84_n8.qasm,gate_deletion,0.04,8,7,7,43,42,1.0,1,0.9944,99.44,HIGH,SUCCESS
bb84_n8.qasm,gate_substitution,0.04,8,7,7,43,43,1.0,1,0.9977,99.77,HIGH,SUCCESS
bb84_n8.qasm,multiple_gate_insertion,0.04,8,7,7,43,45,1.0,1,0.9934,99.34,HIGH,SUCCESS
bb84_n8.qasm,normal,0.05,8,7,7,43,43,0.335,1,0.7123,71.23,HIGH,SUCCESS
bb84_n8.qasm,gate_insertion,0.05,8,7,7,43,44,1.0,1,0.9934,99.34,HIGH,SUCCESS
bb84_n8.qasm,gate_deletion,0.05,8,7,7,43,42,1.0,1,0.9661,96.61,HIGH,SUCCESS
bb84_n8.qasm,gate_substitution,0.05,8,7,7,43,43,1.0,1,0.9934,99.34,HIGH,SUCCESS
bb84_n8.qasm,multiple_gate_insertion,0.05,8,7,8,43,45,1.0,1,0.9934,99.34,HIGH,SUCCESS
bell_n4.qasm,normal,0.005,4,14,14,37,37,0.195,0,0.2142,21.42,LOW,SUCCESS
bell_n4.qasm,gate_insertion,0.005,4,14,14,37,38,1.0,1,0.9931,99.31,HIGH,SUCCESS
bell_n4.qasm,gate_deletion,0.005,4,14,13,37,36,1.0,1,0.9807,98.07,HIGH,SUCCESS
bell_n4.qasm,gate_substitution,0.005,4,14,14,37,37,1.0,1,0.9807,98.07,HIGH,SUCCESS
bell_n4.qasm,multiple_gate_insertion,0.005,4,14,14,37,39,1.0,1,0.9921,99.21,HIGH,SUCCESS
bell_n4.qasm,normal,0.01,4,14,14,37,37,0.12,0,0.1272,12.72,LOW,SUCCESS
bell_n4.qasm,gate_insertion,0.01,4,14,14,37,38,1.0,1,0.9807,98.07,HIGH,SUCCESS
bell_n4.qasm,gate_deletion,0.01,4,14,14,37,36,1.0,1,0.9807,98.07,HIGH,SUCCESS
bell_n4.qasm,gate_substitution,0.01,4,14,14,37,37,1.0,1,0.9817,98.17,HIGH,SUCCESS
bell_n4.qasm,multiple_gate_insertion,0.01,4,14,14,37,39,1.0,1,0.9972,99.72,HIGH,SUCCESS
bell_n4.qasm,normal,0.02,4,14,14,37,37,0.23,1,0.6421,64.21,MEDIUM,SUCCESS
bell_n4.qasm,gate_insertion,0.02,4,14,14,37,38,1.0,1,0.9817,98.17,HIGH,SUCCESS
bell_n4.qasm,gate_deletion,0.02,4,14,14,37,36,1.0,1,0.9807,98.07,HIGH,SUCCESS
bell_n4.qasm,gate_substitution,0.02,4,14,14,37,37,1.0,1,0.9817,98.17,HIGH,SUCCESS
bell_n4.qasm,multiple_gate_insertion,0.02,4,14,14,37,39,1.0,1,0.9972,99.72,HIGH,SUCCESS
bell_n4.qasm,normal,0.03,4,14,14,37,37,0.2,0,0.2488,24.88,LOW,SUCCESS
bell_n4.qasm,gate_insertion,0.03,4,14,15,37,38,1.0,1,0.9931,99.31,HIGH,SUCCESS
bell_n4.qasm,gate_deletion,0.03,4,14,14,37,36,1.0,1,0.9807,98.07,HIGH,SUCCESS
bell_n4.qasm,gate_substitution,0.03,4,14,14,37,37,1.0,1,0.9921,99.21,HIGH,SUCCESS
bell_n4.qasm,multiple_gate_insertion,0.03,4,14,15,37,39,1.0,1,0.9934,99.34,HIGH,SUCCESS
bell_n4.qasm,normal,0.04,4,14,14,37,37,0.215,0,0.2488,24.88,LOW,SUCCESS
bell_n4.qasm,gate_insertion,0.04,4,14,14,37,38,1.0,1,0.9921,99.21,HIGH,SUCCESS
bell_n4.qasm,gate_deletion,0.04,4,14,13,37,36,1.0,1,0.9807,98.07,HIGH,SUCCESS
bell_n4.qasm,gate_substitution,0.04,4,14,14,37,37,1.0,1,0.9921,99.21,HIGH,SUCCESS
bell_n4.qasm,multiple_gate_insertion,0.04,4,14,14,37,39,1.0,1,0.9972,99.72,HIGH,SUCCESS
bell_n4.qasm,normal,0.05,4,14,14,37,37,0.32,1,0.8285,82.85,HIGH,SUCCESS
bell_n4.qasm,gate_insertion,0.05,4,14,15,37,38,1.0,1,0.9817,98.17,HIGH,SUCCESS
bell_n4.qasm,gate_deletion,0.05,4,14,14,37,36,1.0,1,0.9807,98.07,HIGH,SUCCESS
bell_n4.qasm,gate_substitution,0.05,4,14,14,37,37,1.0,1,0.9817,98.17,HIGH,SUCCESS
bell_n4.qasm,multiple_gate_insertion,0.05,4,14,16,37,39,1.0,1,0.9972,99.72,HIGH,SUCCESS
cat_state_n4.qasm,normal,0.005,4,5,5,8,8,0.05,0,0.049,4.9,LOW,SUCCESS
cat_state_n4.qasm,gate_insertion,0.005,4,5,6,8,9,1.0,1,0.9882,98.82,HIGH,SUCCESS
cat_state_n4.qasm,gate_deletion,0.005,4,5,3,8,7,0.53,1,0.9876,98.76,HIGH,SUCCESS
cat_state_n4.qasm,gate_substitution,0.005,4,5,5,8,8,0.505,1,0.9951,99.51,HIGH,SUCCESS
cat_state_n4.qasm,multiple_gate_insertion,0.005,4,5,6,8,10,0.75,1,0.9876,98.76,HIGH,SUCCESS
cat_state_n4.qasm,normal,0.01,4,5,5,8,8,0.155,0,0.2612,26.12,LOW,SUCCESS
cat_state_n4.qasm,gate_insertion,0.01,4,5,5,8,9,0.145,1,0.9906,99.06,HIGH,SUCCESS
cat_state_n4.qasm,gate_deletion,0.01,4,5,3,8,7,0.52,1,0.9876,98.76,HIGH,SUCCESS
cat_state_n4.qasm,gate_substitution,0.01,4,5,5,8,8,0.525,1,0.9951,99.51,HIGH,SUCCESS
cat_state_n4.qasm,multiple_gate_insertion,0.01,4,5,5,8,10,0.575,1,0.9955,99.55,HIGH,SUCCESS
cat_state_n4.qasm,normal,0.02,4,5,5,8,8,0.06,0,0.049,4.9,LOW,SUCCESS
cat_state_n4.qasm,gate_insertion,0.02,4,5,6,8,9,0.57,1,0.9876,98.76,HIGH,SUCCESS
cat_state_n4.qasm,gate_deletion,0.02,4,5,3,8,7,0.54,1,0.9876,98.76,HIGH,SUCCESS
cat_state_n4.qasm,gate_substitution,0.02,4,5,5,8,8,0.475,1,0.995,99.5,HIGH,SUCCESS
